id,shift_id,employee_id,month,day_of_week
0,0,1,1,1
0,1,1,1,1
0,2,1,1,1
0,3,1,1,1
0,4,1,1,1
0,5,1,1,1
0,6,1,1,1
0,7,1,1,1
0,8,1,1,1
0,0,1,1,2
0,1,1,1,2
0,2,1,1,2
0,3,1,1,2
0,4,1,1,2
0,5,1,1,2
0,6,1,1,2
0,7,1,1,2
0,8,1,1,2
0,0,1,1,3
0,1,1,1,3
0,2,1,1,3
0,3,1,1,3
0,4,1,1,3
0,5,1,1,3
0,6,1,1,3
0,7,1,1,3
0,8,1,1,3
0,0,1,1,4
0,1,1,1,4
0,2,1,1,4
0,3,1,1,4
0,4,1,1,4
0,5,1,1,4
0,6,1,1,4
0,7,1,1,4
0,8,1,1,4
0,0,1,1,5
0,1,1,1,5
0,2,1,1,5
0,3,1,1,5
0,4,1,1,5
0,5,1,1,5
0,6,1,1,5
0,7,1,1,5
0,8,1,1,5
0,0,1,1,6
0,1,1,1,6
0,2,1,1,6
0,3,1,1,6
0,4,1,1,6
0,5,1,1,6
0,6,1,1,6
0,7,1,1,6
0,8,1,1,6
0,0,1,1,7
0,1,1,1,7
0,2,1,1,7
0,3,1,1,7
0,4,1,1,7
0,5,1,1,7
0,6,1,1,7
0,7,1,1,7
0,8,1,1,7
0,0,1,2,1
0,1,1,2,1
0,2,1,2,1
0,3,1,2,1
0,4,1,2,1
0,5,1,2,1
0,6,1,2,1
0,7,1,2,1
0,8,1,2,1
0,0,1,2,2
0,1,1,2,2
0,2,1,2,2
0,3,1,2,2
0,4,1,2,2
0,5,1,2,2
0,6,1,2,2
0,7,1,2,2
0,8,1,2,2
0,0,1,2,3
0,1,1,2,3
0,2,1,2,3
0,3,1,2,3
0,4,1,2,3
0,5,1,2,3
0,6,1,2,3
0,7,1,2,3
0,8,1,2,3
0,0,1,2,4
0,1,1,2,4
0,2,1,2,4
0,3,1,2,4
0,4,1,2,4
0,5,1,2,4
0,6,1,2,4
0,7,1,2,4
0,8,1,2,4
0,0,1,2,5
0,1,1,2,5
0,2,1,2,5
0,3,1,2,5
0,4,1,2,5
0,5,1,2,5
0,6,1,2,5
0,7,1,2,5
0,8,1,2,5
0,0,1,2,6
0,1,1,2,6
0,2,1,2,6
